,Branch,Call Purpose,Time Block,Incoming or Outgoing,Queue,Rep ID,Sale,Lost Call,Abandoned,Busy Minutes,Not Ready Minutes,Incoming Wait Time,During Call Wait Time,Calls
0,North,Complaint,9:00 AM,Incoming,B,Brent,NO,0,1,9,2,1.0,4,1
1,North,Sales Support,11:00 AM,Incoming,A,Cam,NO,0,0,11,1,1.0,3,1
2,North,Sales Support,11:00 AM,Incoming,B,Todd,NO,0,0,9,3,1.0,3,1
3,North,Sales Support,4:00 PM,Incoming,B,Brent,NO,0,0,11,2,1.0,4,1
4,North,Product Support,12:00 PM,Incoming,B,Brent,NO,0,0,8,2,1.0,4,1
5,North,Product Support,2:00 PM,Incoming,B,Duke,NO,0,0,12,2,1.0,2,1
6,North,Product Support,2:00 PM,Incoming,A,Joe,NO,0,0,8,1,1.0,3,1
7,North,Product Support,2:00 PM,Incoming,B,Lilly,NO,0,0,11,2,1.0,3,1
8,North,Product Support,3:00 PM,Incoming,B,Duke,NO,0,0,12,2,1.0,4,1
9,North,Product Support,3:00 PM,Incoming,A,Cam,NO,0,0,11,3,1.0,4,1
10,North,Product Support,4:00 PM,Incoming,A,Joe,NO,0,0,11,3,1.0,4,1
11,North,Product Support,4:00 PM,Incoming,A,Amanda,NO,0,0,10,3,1.0,2,1
12,North,Product Support,4:00 PM,Incoming,B,Todd,NO,0,0,12,2,1.0,3,1
13,North,Complaint,9:00 AM,Incoming,B,Duke,NO,0,0,9,2,1.0,4,1
14,North,Complaint,12:00 PM,Incoming,B,Brent,NO,0,0,8,2,1.0,4,1
15,North,Complaint,1:00 PM,Incoming,B,Duke,NO,0,0,12,1,1.0,3,1
16,North,Complaint,3:00 PM,Incoming,B,Brent,NO,0,0,9,3,1.0,3,1
17,North,Complaint,2:00 PM,Incoming,A,Andy,NO,0,1,9,3,2.0,4,1
18,North,Sales Support,10:00 AM,Incoming,B,Duke,NO,0,0,12,2,2.0,2,1
19,North,Sales Support,10:00 AM,Incoming,B,Lilly,YES ,0,0,11,2,2.0,4,1
20,North,Sales Support,11:00 AM,Incoming,B,Lilly,NO,0,0,10,2,2.0,4,1
21,North,Sales Support,12:00 PM,Incoming,B,Duke,NO,0,0,9,2,2.0,2,1
22,North,Sales Support,1:00 PM,Incoming,A,Andy,NO,0,0,9,2,2.0,2,1
23,North,Sales Support,1:00 PM,Incoming,B,Brent,NO,0,0,10,2,2.0,3,1
